DATE,AHEMAN,AHEMAN_PC1,FEDFUNDS,M08297USM548NNBR,PAYEMS,PERMIT,RECPROUSM156N,UEMPMEAN,UNRATE,USREC,Consumer_Expend,Gross_Dom_Income_PC1,Natural_Rate_Unemp,SP_Close,Unemp_Gap
11/1/1965,2.53,4.11523,4.1,222,61996,1306,NA,11.7,4.1,0,875.4046175,9.038621461,5.689043114,91.610001,1.589043114
12/1/1965,2.54,3.67347,4.32,286,62322,1315,NA,11.4,4,0,879.5985499,9.180446582,5.692883989,92.43,1.692883989
1/1/1966,2.55,3.65854,4.42,326,62529,1325,NA,11.9,4,0,882.0776667,9.33366,5.697,92.879997,1.697
2/1/1966,2.56,4.06504,4.6,236,62796,1159,NA,11.2,3.8,0,882.8881606,9.601209518,5.70141329,91.220001,1.90141329
3/1/1966,2.56,3.22581,4.65,169,63192,1234,NA,11.1,3.8,0,883.1771656,9.922031118,5.705525271,89.230003,1.905525271
4/1/1966,2.58,4.45344,4.67,164,63437,1145,NA,10.8,3.8,0,884.338,10.31203,5.71,91.059998,1.91
5/1/1966,2.59,4.01606,4.9,150,63712,1078,NA,10.2,3.9,0,887.1942854,10.66343479,5.714092657,86.129997,1.814092657
6/1/1966,2.58,3.61446,5.17,154,64111,956,NA,9.7,3.8,0,891.0700694,10.89815505,5.718139974,84.739998,1.918139974
7/1/1966,2.59,4.43548,5.3,242,64301,932,NA,9.7,3.8,0,894.4363333,10.89484,5.722,83.599998,1.922
8/1/1966,2.58,4.45344,5.53,166,64507,877,NA,9.8,3.8,0,896.5237873,10.59058405,5.726027082,77.099998,1.926027082
9/1/1966,2.62,4.38247,5.4,140,64643,774,NA,10.1,3.7,0,897.5458575,10.10834807,5.730082758,76.559998,2.030082758
10/1/1966,2.64,4.7619,5.53,162,64854,739,NA,10.3,3.7,0,898.1626667,9.63762,5.734,80.199997,2.034
11/1/1966,2.65,4.74308,5.76,204,65019,736,NA,9.7,3.6,0,899.0412574,9.26886838,5.738018849,80.449997,2.138018849
12/1/1966,2.66,4.72441,5.4,295,65199,743,NA,9.5,3.8,0,900.5840649,8.959644912,5.741915285,80.330002,1.941915285
1/1/1967,2.66,4.31373,4.94,297,65407,995,NA,9.3,3.9,0,903.338,8.57367,5.746,86.610001,1.846
2/1/1967,2.67,4.29688,5,264,65429,907,NA,9.2,3.8,0,907.4554958,8.044227943,5.750168187,86.779999,1.950168187
3/1/1967,2.67,4.29688,4.53,237,65530,955,NA,8.9,3.8,0,911.6251057,7.515830925,5.753934055,90.199997,1.953934055
4/1/1967,2.68,3.87597,4.05,241,65466,1035,NA,8.8,3.8,0,915.688,6.99582,5.758,94.010002,1.958
5/1/1967,2.69,3.861,3.94,185,65620,1076,NA,8.7,3.8,0,918.267341,6.651361334,5.761754728,89.080002,1.961754728
6/1/1967,2.7,4.65116,3.98,183,65750,1169,0.98,8.3,3.9,0,919.7176848,6.450466434,5.76548155,90.639999,1.86548155
7/1/1967,2.7,4.2471,3.79,281,65888,1177,0.64,8.3,3.8,0,920.3763333,6.37047,5.769,94.75,1.969
8/1/1967,2.7,4.65116,3.9,181,66143,1229,0.02,8.9,3.8,0,920.8803347,6.381630107,5.772612355,93.639999,1.972612355
9/1/1967,2.73,4.19847,3.99,154,66164,1279,0.3,8.4,3.8,0,922.3750543,6.514160504,5.776289857,96.709999,1.976289857
10/1/1967,2.73,3.40909,3.88,176,66225,1280,0.1,8.7,4,0,926.0086667,6.79435,5.78,93.300003,1.78
11/1/1967,2.75,3.77358,4.13,205,66703,1297,0.06,8.9,3.9,0,932.7328059,7.259064409,5.784035827,94,1.884035827
12/1/1967,2.79,4.88722,4.51,274,66900,1315,0.08,8.6,3.8,0,940.6467383,7.82344018,5.788007376,96.470001,1.988007376
1/1/1968,2.83,6.39098,4.6,312,66804,1179,1.74,9.4,3.7,0,948.2003333,8.4494,5.792,92.239998,2.092
