1.45,13.7,1.11811,0.3964,-0.0109,-0.1126,0.0095,0.1110,1
2.54,13.6,0.972422362,0.5880,-0.0175,-0.1167,0.0063,0.1304,1
2.02,14.1,1.162559836,0.2292,-0.0146,0.0471,0.0080,0.1756,0
1.49,15.5,1.54412,0.2457,-0.0216,-0.0138,0.0118,0.2012,0
1.98,15.6,1.943967151,0.1212,-0.0126,-0.0238,0.0146,0.1922,0
1.73,16.2,2.420781506,0.0221,-0.0068,0.1169,0.0172,0.1356,0
1.17,17.3,3.01949,0.0472,-0.0034,0.0841,0.0208,0.2027,0
2,17,3.822271029,-0.1209,0.0005,0.1660,0.0265,0.1950,0
1.88,16.1,4.70912167,-0.0693,0.0030,0.1159,0.0333,0.2468,0
2.26,15.9,5.51592,-0.1717,0.0070,0.1553,0.0399,0.2853,0
2.61,17,6.189752255,-0.1970,0.0145,0.1767,0.0457,0.2841,0
2.33,15.8,6.693717478,-0.2045,0.0210,0.2208,0.0495,0.2313,0
2.15,15.3,7.0959,-0.2078,0.0225,0.1579,0.0514,0.1143,0
2.37,16,7.399402026,-0.3347,0.0305,0.2425,0.0508,0.1028,0
2.85,15,7.563626502,-0.2649,0.0301,0.1340,0.0495,0.0690,0
2.78,14.9,7.58342,-0.2740,0.0368,0.2325,0.0487,-0.0011,0
2.36,15.5,7.416079231,-0.1622,0.0342,0.1120,0.0496,-0.1041,0
2.68,15.1,7.090778487,-0.0791,0.0309,0.0785,0.0513,-0.1530,0
2.71,14.6,6.68352,-0.1099,0.0300,0.0979,0.0520,-0.1278,0
2.93,14.5,6.225950198,-0.0372,0.0284,0.0354,0.0507,-0.1315,0
2.9,14.1,5.796053043,-0.0863,0.0292,0.1138,0.0482,-0.1568,0
2.9,14.1,5.46947,-0.0109,0.0279,0.0516,0.0459,-0.1763,0
2.94,13.3,5.26418454,-0.0189,0.0240,0.0729,0.0443,-0.1270,0
2.93,13.6,5.136673695,0.0687,0.0211,0.0646,0.0433,-0.1181,0
2.92,13.8,4.99504,0.0398,0.0223,0.1123,0.0421,-0.0383,0
3,14.1,4.791483523,0.0126,0.0189,0.0151,0.0404,-0.0810,0
2.98,14.5,4.618946204,-0.0074,0.0189,0.1093,0.0391,-0.0428,0
2.9,14.5,4.5432,0.0264,0.0176,0.0429,0.0392,0.0699,0
3,14.5,4.655748631,-0.0444,0.0178,0.1821,0.0413,0.1873,0
2.99,14,4.906356558,-0.0703,0.0182,0.1655,0.0439,0.2670,0
3.02,14,5.19069,-0.0665,0.0188,0.1110,0.0449,0.1872,0
3.49,13.9,5.454582672,-0.0579,0.0192,0.0917,0.0429,0.2263,0
3.48,14.2,5.689058062,-0.0515,0.0197,0.1554,0.0399,0.2742,0
3.5,13.9,5.90611,-0.0772,0.0222,0.1973,0.0389,0.3094,0
3.48,13.3,6.134298736,-0.0737,0.0214,0.0979,0.0416,0.1762,0
3.38,13.3,6.355008717,-0.0190,0.0238,0.1513,0.0466,0.1889,0
3.48,13.5,6.57447,-0.0766,0.0244,0.0385,0.0519,0.1637,0
3.48,13.2,6.780741788,-0.1025,0.0271,0.1898,0.0556,0.2101,0
3.43,13.5,6.9724775,-0.0444,0.0280,0.0437,0.0582,0.1864,0
3.47,12.4,7.19162,-0.1029,0.0237,-0.0186,0.0605,0.1384,0
3.5,13.6,7.42109203,-0.0886,0.0260,-0.0378,0.0630,0.1352,0
3.5,13.6,7.629986813,-0.0966,0.0275,-0.0483,0.0651,0.1776,0
3.42,14.7,7.74831,-0.0746,0.0285,-0.0129,0.0656,0.2032,0
3.5,13,7.746642315,-0.1598,0.0300,-0.0031,0.0640,0.1287,0
3.45,12.7,7.667318039,-0.1403,0.0320,-0.1047,0.0614,0.1741,0
3.36,12.6,7.58231,-0.1195,0.0264,-0.1301,0.0598,0.1466,0
3.52,14,7.535937134,-0.0519,0.0343,-0.0759,0.0603,0.1528,0
3.85,12.7,7.512334347,-0.1626,0.0359,-0.1820,0.0618,0.1297,0
3.9,12.2,7.47328,-0.1415,0.0364,-0.0247,0.0626,0.1366,0
3.98,12.6,7.391596302,-0.0796,0.0354,-0.1782,0.0616,0.1238,0
4.04,12,7.289205571,-0.1473,0.0364,-0.0777,0.0591,0.0909,0
4.09,11.4,7.16212,-0.1066,0.0403,-0.0807,0.0557,0.1214,0
4.1,11.1,7.056062493,-0.1481,0.0414,-0.0708,0.0524,0.1002,0
4.04,11.6,7.051807925,-0.1256,0.0424,-0.0305,0.0512,0.0297,0
4.09,11.6,7.24734,-0.1099,0.0437,-0.0514,0.0543,0.0249,0
4.12,11.9,7.707310196,0.0146,0.0445,-0.0436,0.0630,0.0653,0
4.01,11.9,8.281706764,-0.1105,0.0439,-0.0300,0.0736,0.0687,0
4.08,12.1,8.76014,-0.1629,0.0498,0.0398,0.0809,0.0891,0
4.1,11.7,9.038621461,-0.1898,0.0469,0.0415,0.0819,0.0852,0
4.32,11.4,9.180446582,-0.1710,0.0488,0.1297,0.0782,0.0906,0
4.42,11.9,9.33366,-0.0739,0.0495,0.0483,0.0729,0.0608,0
4.6,11.2,9.601209518,-0.1128,0.0501,-0.0219,0.0685,0.0433,0
4.65,11.1,9.922031118,-0.2318,0.0531,0.0190,0.0658,0.0356,0
4.67,10.8,10.31203,-0.2477,0.0527,-0.0146,0.0639,0.0219,0
4.9,10.2,10.66343479,-0.1848,0.0532,-0.1069,0.0631,-0.0259,0
5.17,9.7,10.89815505,-0.1809,0.0564,-0.2297,0.0616,0.0074,0
5.3,9.7,10.89484,-0.0041,0.0547,-0.2466,0.0579,-0.0194,0
5.53,9.8,10.59058405,-0.2019,0.0536,-0.2978,0.0506,-0.1155,0
5.4,10.1,10.10834807,-0.1716,0.0513,-0.3692,0.0416,-0.1490,0
5.53,10.3,9.63762,-0.1243,0.0508,-0.4222,0.0333,-0.1322,0
5.76,9.7,9.26886838,-0.0811,0.0488,-0.4364,0.0270,-0.1218,0
5.4,9.5,8.959644912,0.0315,0.0462,-0.4350,0.0239,-0.1309,0
4.94,9.3,8.57367,-0.0890,0.0460,-0.2491,0.0241,-0.0675,0
5,9.2,8.044227943,0.1186,0.0419,-0.2174,0.0278,-0.0487,0
4.53,8.9,7.515830925,0.4024,0.0370,-0.2261,0.0322,0.0109,0
4.05,8.8,6.99582,0.4695,0.0320,-0.0961,0.0355,0.0324,0
3.94,8.7,6.651361334,0.2333,0.0299,-0.0019,0.0350,0.0343,0
3.98,8.3,6.450466434,0.1883,0.0256,0.2228,0.0321,0.0696,0
3.79,8.3,6.37047,0.1612,0.0247,0.2629,0.0290,0.1334,0
3.9,8.9,6.381630107,0.0904,0.0254,0.4014,0.0272,0.2145,0
3.99,8.4,6.514160504,0.1000,0.0235,0.6525,0.0277,0.2632,0
3.88,8.7,6.79435,0.0864,0.0211,0.7321,0.0310,0.1633,0
4.13,8.9,7.259064409,0.0049,0.0259,0.7622,0.0375,0.1684,0
4.51,8.6,7.82344018,-0.0712,0.0261,0.7699,0.0445,0.2009,0
4.6,9.4,8.4494,0.0505,0.0214,0.1849,0.0497,0.0650,0
4.71,8.7,9.049458817,-0.1515,0.0273,0.4796,0.0509,0.0297,0
5.05,8.5,9.551835759,-0.2405,0.0269,0.4346,0.0506,0.0000,0
5.76,8.7,9.99518,-0.2531,0.0319,0.2425,0.0513,0.0367,0
6.11,8.2,10.31274075,-0.1730,0.0310,0.2054,0.0551,0.1078,0
6.07,7.9,10.55028847,-0.1585,0.0328,0.1121,0.0608,0.0986,0
6.02,8.4,10.72714,-0.1779,0.0340,0.1419,0.0655,0.0316,0
6.03,8.3,10.87356686,-0.0663,0.0331,0.1041,0.0675,0.0557,0
5.78,8.2,10.93160673,-0.1104,0.0351,0.1446,0.0667,0.0616,0
5.91,8.4,10.83856,-0.1477,0.0377,0.1102,0.0638,0.1084,0
5.82,8.1,10.55541622,-0.0927,0.0342,0.1072,0.0594,0.1529,0
6.02,8.2,10.19729963,-0.0657,0.0351,0.0563,0.0546,0.0766,0
6.3,8.1,9.87411,-0.1314,0.0394,0.2375,0.0504,0.1168,0
6.61,7.9,9.70529008,-0.0491,0.0370,0.1140,0.0475,0.0981,0
6.79,7.9,9.679061687,-0.0556,0.0388,0.0496,0.0450,0.1254,0
7.41,7.9,9.75487,-0.0611,0.0372,0.1205,0.0414,0.0639,0
8.67,7.9,9.891183405,-0.0575,0.0396,0.0239,0.0361,0.0484,0
8.9,7.7,10.02071321,0.0146,0.0402,0.0377,0.0305,-0.0188,0
8.61,7.8,10.05419,0.0877,0.0382,-0.0491,0.0272,-0.0605,0
